keys,es,en,pt,it
tecl_txt_pres,Presiona una tecla...,Press a key...,Pressione uma tecla...,Premi un tasto...
tecl_txt_camb,Cambiar,Change,Alterar,Cambia
tecl_lab_tecpri,Tecla primaria,Primary key,Tecla primária,Tasto primario
tecl_lab_tecsec,Tecla secundaria,Secondary key,Tecla secundária,Tasto secondario
tecl_lab_act,Acción,Action,Ação,Azione
tecl_lab_arr,Arriba,Up,Cima,Sopra
tecl_lab_abj,Abajo,Down,Baixo,Sotto
tecl_lab_der,Derecha,Right,Direita,Destra
tecl_lab_izq,Izquierda,Left,Esquerda,Sinistra
tecl_lab_acp,Aceptar/Entrar,Accept/Enter,Aceitar/Entrar,Accetta/Entra
tecl_lab_slr,Salir,Exit,Sair,Uscire
tecl_lab_atq,Ataque,Attack,Ataque,Attacco
tecl_lab_slt,Salto,Jump,Pulo,Salto
gen_salir,Pulsa {tecla} para salir,Press {tecla} to exit,Pressione {tecla} para sair,Premi {tecla} per uscire
gen_volver,Volver,Go back,Voltar,Torna indietro
gen_reset,Teclas por defecto,Default keys,Teclas padrão,Tasti predefiniti
npc_granjero,"¡Ha llegado el fin!","The end has come!","O fim chegou!","È giunta la fine!"
npc_granjero2,"¡Salto de fe!","Leap of faith!","Salto de fé!","Salto della fede!"
npc_mendigo,"Una moneda porfavor...","A coin please...","Uma moeda por favor ...","Una moneta per favore..."
npc_perro, "Te vemos.. Guau!" , "We see you.. Bark!", "Vemo-te Au!", "Ti vediamo Bau!" 
chg_pers_1,"Ahora me toca a mí.","Now it's my turn.","Agora é a minha vez.","Ora tocca a me."
chg_pers_2,"Aquí empiezo yo.","Here I begin.","Aqui começo eu.","Qui comincio io."
chg_pers_3,"Soy yo quien sigue.","I'm the one who goes next.","Sou eu quem segue.","Sono io che continuo."
chg_pers_4,"Es mi turno ahora.","It's my turn now.","É minha vez agora.","È il mio turno adesso."
chg_pers_5,"A partir de aquí, soy yo.","From here on, it's me.","A partir daqui, sou eu.","Da qui in poi, sono io."
msg_doble_1,"Solo aquellos que se atreven a saltar sin ver el suelo podrán avanzar.","Only those who dare to jump without seeing the ground may proceed.","Apenas quem ousa saltar sem ver o chão poderá avançar.","Solo chi osa saltare senza vedere il suolo potrà andare avanti."
msg_doble_2,"La fe en el aire abrirá el camino oculto.","Faith in the air will open the hidden path.","A fé no ar abrirá o caminho oculto.","La fede nell'aria aprirà il sentiero nascosto."
msg_doble_3,"Donde el suelo termina, la voluntad te eleva.","Where the ground ends, willpower lifts you.","Onde o chão termina, a vontade te eleva.","Dove finisce il suolo, la volontà ti solleva."
msg_doble_4,"El segundo salto no nace de las piernas, sino del valor.","The second jump is not born from the legs, but from courage.","O segundo salto não nasce das pernas, mas da coragem.","Il secondo salto non nasce dalle gambe, ma dal coraggio."
msg_doble_5,"Da un salto más allá de lo posible... y la puerta responderá.","Leap beyond what’s possible... and the door will answer.","Salte além do possível... e a porta responderá.","Salta oltre il possibile... e la porta risponderà."
msg_doble_unlock,"¡Doble salto desbloqueado!","Double jump unlocked!","Pulo duplo desbloqueado!","Doppio salto sbloccato!"
msg_escalada_1,"Donde no hay suelo, el filo se convierte en camino.","Where there is no ground, the blade becomes a path.","Onde não há chão, a lâmina vira caminho.","Dove non c'è suolo, la lama diventa un sentiero."
msg_escalada_2,"El acero no corta piedra, pero sí tu destino.","Steel does not cut stone, but it carves your fate.","O aço não corta pedra, mas esculpe o seu destino.","L'acciaio non taglia la pietra, ma scolpisce il tuo destino."
msg_escalada_3,"La pared no es obstáculo, sino impulso.","The wall is not an obstacle, but a push forward.","A parede não é um obstáculo, mas um impulso.","Il muro non è un ostacolo, ma uno slancio."
msg_escalada_4,"El que confía en su arma, sube donde otros caen.","He who trusts his weapon climbs where others fall.","Quem confia em sua arma sobe onde outros caem.","Chi si fida della sua arma sale dove altri cadono."
msg_escalada_5,"Si la caída es segura, la escalada es elección.","If the fall is certain, climbing is a choice.","Se a queda é certa, escalar é uma escolha.","Se la caduta è certa, scalare è una scelta."
msg_escalada_unlock,"¡Escalada con el hacha desbloqueada!","Axe wall climbing unlocked!","Escalada com machado desbloqueada!","Arrampicata con l'ascia sbloccata!"
msg_dash_1,"Donde el paso falla, el impulso triunfa.","Where the step fails, the surge prevails.","Onde o passo falha, o impulso vence.","Dove il passo fallisce, l’impulso trionfa."
msg_dash_2,"No todos los caminos se caminan; algunos se atraviesan.","Not all paths are walked; some are dashed through.","Nem todos os caminhos são percorridos; alguns são atravessados.","Non tutti i sentieri si percorrono; alcuni si attraversano di slancio."
msg_dash_3,"La velocidad no es huida, es decisión.","Speed is not escape, it is resolve.","Velocidade não é fuga, é decisão.","La velocità non è fuga, è decisione."
msg_dash_4,"El aire responde solo a quien se lanza sin dudar.","The air answers only to those who leap without hesitation.","O ar responde apenas a quem se lança sem hesitar.","L’aria risponde solo a chi si lancia senza esitazione."
msg_dash_5,"La brecha no se salta, se corta con voluntad.","The gap is not jumped over, it's sliced through with will.","O vão não se salta, se corta com vontade.","Il vuoto non si salta, si taglia con la volontà."
msg_dash_unlock,"¡Dash desbloqueado!","Dash unlocked!","Dash desbloqueado!","Scatto sbloccato!"
lbl_nivel,Nivel,Level,Nível,Livello
lbl_maximo_gemas,Record gemas,Gems record,Recorde de gemas,Record gemme
lbl_tiempo_minimo,Record tiempo,Time record,Recorde de tempo,Record tempo
btn_jugar,Jugar,Play,Jogar,Gioca
btn_volver_a_jugar,Volver a jugar,Play again,Jogar novamente,Gioca di nuovo
lbl_sin_hacer,Nivel sin completar,Level not completed,Nível não completado,Livello non completato
btn_volver_al_inicio,"Volver al inicio","Return to main menu","Voltar ao início","Torna al menu principale"
lbl_gemas_conseguidas,"Gemas conseguidas","Gems collected","Gemas coletadas","Gemme raccolte"
lbl_tiempo_en_completar,"Tiempo en completar","Time to complete","Tempo para completar","Tempo per completare"
lbl_frase_loki_odin,¡Tu vista es tan frágil como tu mente!,Your sight is as fragile as your mind!,Sua visão é tão frágil quanto sua mente!,La tua vista è fragile come la tua mente!
lbl_cine1,"Desde las profundidades de Niflheim hasta las alturas de Asgard","From the depths of Niflheim to the heights of Asgard","Das profundezas de Niflheim às alturas de Asgard","Dalle profondità di Niflheim alle altezze di Asgard"
lbl_cine2,"El gran árbol, Yggdrasill, une todos los reinos.","The great tree, Yggdrasill, unites all realms.","A grande árvore, Yggdrasill, une todos os reinos.","Il grande albero, Yggdrasill, unisce tutti i regni."
lbl_cine3,"Nueve mundos, cada uno hogar de razas y deidades distintas:","Nine worlds, each home to distinct races and deities:","Nove mundos, cada um lar de raças e divindades distintas:","Nove mondi, ognuno dimora di razze e divinità distinte:"
lbl_cine4,"los Aesir y Vanir, los Gigantes de Hielo, los Elfos, los Enanos…","the Aesir and Vanir, the Frost Giants, the Elves, the Dwarves…","os Aesir e Vanir, os Gigantes de Gelo, os Elfos, os Anões…","gli Aesir e i Vanir, i Giganti di Ghiaccio, gli Elfi, i Nani…"
lbl_cine5,"Durante eones, este equilibrio ha perdurado,","For eons, this balance has endured,","Por eras, este equilíbrio tem perdurado,","Per eoni, questo equilibrio è perdurato,"
lbl_cine6,"tejido por los hilos del destino","woven by the threads of destiny","tecido pelos fios do destino","intessuto dai fili del destino"
lbl_cine7,"Pero el tiempo es un río que fluye,","But time is a flowing river,","Mas o tempo é um rio que flui,","Ma il tempo è un fiume che scorre,"
lbl_cine8,"y con cada era, la marea de los acontecimientos se acerca al gran crepúsculo.","and with each era, the tide of events approaches the great twilight.","e a cada era, a maré dos acontecimentos se aproxima do grande crepúsculo.","e con ogni era, la marea degli eventi si avvicina al grande crepuscolo."
lbl_cine9,"Se susurra entre los reinos que el Ragnarök,","It is whispered among the realms that Ragnarök,","Murmura-se entre os reinos que o Ragnarök,","Si sussurra tra i regni che il Ragnarök,"
lbl_cine10,"el fin de los tiempos, está cerca.","the end of times, is near.","o fim dos tempos, está próximo.","la fine dei tempi, è vicino."
lbl_cine11,"El invierno de Fimbulvetr ya se siente,","The winter of Fimbulvetr is already felt,","O inverno de Fimbulvetr já se faz sentir,","L'inverno di Fimbulvetr si fa già sentire,"
lbl_cine12,"sus garras congelan la esperanza","its claws freeze hope","suas garras congelam a esperança","le sue grinfie congelano la speranza"
lbl_cine13,"Loki, el dios de la traición y las mentiras, permanece encadenado.","Loki, the god of treachery and lies, remains chained.","Loki, o deus da traição e das mentiras, permanece acorrentado.","Loki, il dio del tradimento e delle bugie, rimane incatenato."
lbl_cine14,"O eso nos dicen.","Or so we are told.","Ou assim nos dizem.","O almeno così ci dicono."
lbl_cine15,"Pero el engañoso dios no ha de permanecer cautivo por siempre.","But the deceptive god is not to remain captive forever.","Mas o deus enganoso não deve permanecer cativo para sempre.","Ma il dio ingannevole non deve rimanere prigioniero per sempre."
lbl_cine16,"Las señales son claras: su liberación se aproxima,","The signs are clear: his release is approaching,","Os sinais são claros: sua libertação se aproxima,","I segnali sono chiari: la sua liberazione si avvicina,"
lbl_cine17,"y con ella, el caos.","and with it, chaos.","e com ela, o caos.","e con essa, il caos."
lbl_cine18,"Mientras los dioses se preparan para su destino,","While the gods prepare for their destiny,","Enquanto os deuses se preparam para seu destino,","Mentre gli dei si preparano per il loro destino,"
lbl_cine19,"en los reinos inferiores, la vida cotidiana se desmorona.","in the lower realms, everyday life crumbles.","nos reinos inferiores, a vida cotidiana desmorona.","nei regni inferiori, la vita quotidiana si sgretola."
lbl_cine20,"Semanas de un clima gélido e implacable","Weeks of a glacial and relentless climate","Semanas de um clima gélido e implacável","Settimane di un clima gelido e implacabile"
lbl_cine21,"han cubierto la tierra de un gris perpetuo.","have covered the land in a perpetual gray.","cobriram a terra de um cinza perpétuo.","hanno coperto la terra di un grigio perpetuo."
lbl_cine22,"Los recursos escasean. El hambre acecha.","Resources are scarce. Hunger lurks.","Os recursos são escassos. A fome espreita.","Le risorse scarseggiano. La fame incombe."
lbl_cine23,"Fue la necesidad lo que impulsó a dos almas valientes","It was necessity that impelled two brave souls","Foi a necessidade que impulsionou duas almas valentes","Fu la necessità che spinse due anime coraggiose"
lbl_cine24,"a abandonar la seguridad de su pueblo.","to abandon the safety of their village.","a abandonar a segurança de seu povo.","ad abbandonare la sicurezza del loro villaggio."
lbl_cine25,"Un arquero hábil y una guerrera de fuerza indomable","A skilled archer and a warrior of indomitable strength","Um arqueiro hábil e uma guerreira de força indomável","Un arciere abile e una guerriera di forza indomabile"
lbl_cine26,"partieron en busca de provisiones.","set out in search of supplies.","partiram em busca de provisões.","partirono in cerca di provviste."
lbl_cine27,"El rastro de humo en el horizonte","The trail of smoke on the horizon","O rastro de fumaça no horizonte","La scia di fumo all'orizzonte"
lbl_cine28,"les ofreció una chispa de esperanza.","offered them a spark of hope.","ofereceu-lhes uma faísca de esperança.","offrì loro una scintilla di speranza."
lbl_cine29,"En aquel asentamiento, encontraron ayuda...","In that settlement, they found help...","Naquele assentamento, encontraram ajuda...","In quell'insediamento, trovarono aiuto..."
lbl_cine30,"pero también una petición urgente","but also an urgent request","mas também um pedido urgente","ma anche una richiesta urgente"
lbl_cine31,"La hija del poblado había sido secuestrada.","The village chief's daughter had been kidnapped.","A filha do povoado havia sido sequestrada.","La figlia del villaggio era stata rapita."
lbl_cine32,"Si ayudaban a recuperarla, las provisiones serían suyas.","If they helped retrieve her, the supplies would be theirs.","Se ajudassem a recuperá-la, as provisões seriam deles.","Se avessero aiutato a recuperarla, le provviste sarebbero state loro."
lbl_cine33,"El destino de un pueblo, y quizás el suyo propio,","The fate of a people, and perhaps their own,","O destino de um povo, e talvez o seu próprio,","Il destino di un popolo, e forse il loro stesso,"
lbl_cine34,"pendía de esta decisión.","hung on this decision.","pendia desta decisão.","dipendeva da questa decisione."
user_prompt_1,"Pulse cualquier tecla para continuar","Press any key to continue","Pressione qualquer tecla para continuar","Premi un tasto qualsiasi per continuare"
lbl_loki_muere,"Nos volveremos a ver... cuando ya no seas tú.","We will meet again... when you are no longer yourself.","Voltaremos a nos ver... quando já não fores tu.","Ci rivedremo... quando non sarai più te stesso."
lvl1_cine_01,"Y así, con el rugido final del coloso silenciado…","And so, with the final roar of the colossus silenced...","E assim, com o rugido final do colosso silenciado...","E così, con il ruggito finale del colosso messo a tacere..."
lvl1_cine_02,"la bestia que custodiaba la prisión cayó ante el valor de los elegidos.","the beast guarding the prison fell before the courage of the chosen.","a besta que guardava a prisão caiu diante da coragem dos escolhidos.","la bestia che custodiva la prigione cadde di fronte al coraggio degli eletti."
lvl1_cine_03,"Entre sombras y fuego… aguardaba lo que creían perdido.","Amid shadows and fire… awaited what they thought lost.","Entre sombras e fogo... aguardava o que julgavam perdido.","Tra ombre e fuoco... attendeva ciò che credevano perduto."
lvl1_cine_04,"Una niña, símbolo de esperanza, cautiva de una oscuridad voraz.","A girl, symbol of hope, captive of a voracious darkness.","Uma menina, símbolo de esperança, cativa de uma escuridão voraz.","Una bambina, simbolo di speranza, prigioniera di un’oscurità vorace."
lvl1_cine_05,"Pero cuando el sello fue roto…","But when the seal was broken...","Mas quando o selo foi quebrado...","Ma quando il sigillo fu spezzato..."
lvl1_cine_06,"La ilusión se deshizo.","The illusion unraveled.","A ilusão se desfez.","L'illusione svanì."
lvl1_cine_07,"Y la verdad, terrible y burlona, tomó forma.","And the truth, terrible and mocking, took form.","E a verdade, terrível e zombeteira, tomou forma.","E la verità, terribile e beffarda, prese forma."
lvl1_cine_08,"Ah… ¡libertad al fin! Qué atentos, qué valientes… qué ingenuos.","Ah... freedom at last! So watchful, so brave... so naïve.","Ah... liberdade enfim! Tão atentos, tão corajosos... tão ingênuos.","Ah... finalmente libero! Così attenti, così coraggiosi... così ingenui."
lvl1_cine_09,"Mi más sincero agradecimiento.","My most sincere thanks.","Meus mais sinceros agradecimentos.","Le mie più sincere grazie."
lvl1_cine_10,"Nos volveremos a ver… cuando menos lo esperen.","We’ll meet again… when you least expect it.","Nos veremos novamente... quando menos esperarem.","Ci rivedremo... quando meno ve lo aspetterete."
lvl1_cine_11,"No era una niña. Nunca lo fue.","She wasn’t a girl. She never was.","Não era uma menina. Nunca foi.","Non era una bambina. Non lo è mai stata."
lvl1_cine_12,"Fue una trampa… tejida con hilos de ilusión por el tejedor del engaño.","It was a trap… woven with threads of illusion by the weaver of lies.","Era uma armadilha... tecida com fios de ilusão pelo tecelão do engano.","Era una trappola... tessuta con fili d’illusione dal tessitore dell’inganno."
lvl1_cine_13,"Y mientras el eco de su risa se desvanecía…","And as the echo of his laughter faded...","E enquanto o eco de sua risada desaparecia...","E mentre l'eco della sua risata svaniva..."
lvl1_cine_14,"una voz débil rompió el silencio.","a faint voice broke the silence.","uma voz fraca rompeu o silêncio.","una voce debole ruppe il silenzio."
lvl1_cine_15,"Bajo los escombros… la verdad aún respiraba.","Beneath the rubble… truth still breathed.","Sob os escombros... a verdade ainda respirava.","Sotto le macerie... la verità respirava ancora."
lvl1_cine_16,"No todo estaba perdido.","Not all was lost.","Nem tudo estava perdido.","Non tutto era perduto."
lvl1_cine_17,"El engaño fue profundo… pero no completo.","The deception was deep… but not complete.","O engano foi profundo... mas não completo.","L'inganno fu profondo... ma non completo."
lvl1_cine_18,"Y aunque el lobo cayó… ahora saben que algo mucho más peligroso ha sido desatado.","And though the wolf fell… now they know something far more dangerous has been unleashed.","E embora o lobo tenha caído... agora sabem que algo muito mais perigoso foi libertado.","E sebbene il lupo sia caduto... ora sanno che qualcosa di molto più pericoloso è stato liberato."
lvl1_cine_19,"Nos veremos pronto…","We’ll meet again soon…","Nos veremos em breve...","Ci rivedremo presto..."
lvl3_loki_01,"Con un destello hiriente y un aire que olía a truco…","With a searing flash and an air that reeked of trickery...","Com um brilho ardente e um ar que cheirava a trapaça...","Con un lampo accecante e un’aria che odorava d’inganno..."
lvl3_loki_02,"la figura de Loki se alzó entre los restos del engaño.","Loki’s figure rose among the remains of the deceit.","A figura de Loki ergueu-se entre os restos do engano.","La figura di Loki si levò tra i resti dell’inganno."
lvl3_loki_03,"Sus ojos brillaban con el goce de quien ha esperado siglos.","His eyes gleamed with the joy of one who has waited centuries.","Seus olhos brilhavam com o prazer de quem esperou séculos.","I suoi occhi brillavano della gioia di chi ha atteso secoli."
lvl3_loki_04,"Mis liberadores… qué honor tan inesperado.","My liberators… what an unexpected honor.","Meus libertadores... que honra tão inesperada.","I miei liberatori... che onore così inaspettato."
lvl3_loki_05,"Habéis roto las cadenas que ni los dioses se atrevieron a tocar.","You have broken the chains even the gods dared not touch.","Vocês romperam correntes que nem os deuses ousaram tocar.","Avete spezzato catene che nemmeno gli dèi osarono toccare."
lvl3_loki_06,"Decidme… ¿qué os parecería luchar a mi lado?","Tell me... how would you feel about fighting by my side?","Digam-me... o que acham de lutar ao meu lado?","Ditemi... cosa ne pensate di combattere al mio fianco?"
lvl3_loki_07,"No como peones, sino como iguales…","Not as pawns, but as equals...","Não como peões, mas como iguais...","Non come pedine, ma come pari..."
lvl3_loki_08,"Contra aquellos que os dejaron al margen: los dioses.","Against those who cast you aside: the gods.","Contra aqueles que os deixaram de lado: os deuses.","Contro coloro che vi hanno lasciati ai margini: gli dèi."
lvl3_loki_09,"La propuesta se deslizó como veneno dulce.","The proposal slid forth like sweet poison.","A proposta escorregou como veneno doce.","La proposta si insinuò come un dolce veleno."
lvl3_loki_10,"Pero la respuesta fue tan firme como el acero que le encerró.","But the answer was as firm as the steel that once held him.","Mas a resposta foi tão firme quanto o aço que o prendeu.","Ma la risposta fu ferma come l’acciaio che lo imprigionò."
lvl3_loki_11,"Tsk… Qué lástima.","Tsk… What a pity.","Tsk... Que pena.","Tsk... Che peccato."
lvl3_loki_12,"Os ofrecí poder. Propósito. Venganza.","I offered you power. Purpose. Vengeance.","Eu ofereci poder. Propósito. Vingança.","Vi ho offerto potere. Scopo. Vendetta."
lvl3_loki_13,"En cambio, elegís la obediencia y la ruina.","Instead, you choose obedience and ruin.","Em vez disso, escolheram obediência e ruína.","Invece avete scelto obbedienza e rovina."
lvl3_loki_14,"Ateneros a las consecuencias, pues ya están en marcha.","Brace yourselves for the consequences, for they are already in motion.","Preparem-se para as consequências, pois já estão em curso.","Preparatevi alle conseguenze, perché sono già in atto."
lvl3_loki_15,"Si fuera por mí… ya estaríais fuera de este plano.","If it were up to me… you'd be out of this realm already.","Se fosse por mim... já estariam fora deste plano.","Se fosse per me... sareste già fuori da questo piano."
lvl3_loki_16,"Pero no soy yo quien dicta cada movimiento, aún.","But I am not the one who calls every move… yet.","Mas não sou eu quem dita cada passo... ainda.","Ma non sono io a decidere ogni mossa… per ora."
lvl3_loki_17,"Así que corred, héroes... mientras podáis.","So run, heroes... while you still can.","Então corram, heróis... enquanto podem.","Quindi correte, eroi... finché potete."
lvl2_cine_01,"La niña fue devuelta a la aldea, sana y salva.","The girl was returned to the village, safe and sound.","A menina foi devolvida à aldeia, sã e salva.","La bambina fu riportata al villaggio, sana e salva."
lvl2_cine_02,"Las lágrimas dieron paso a la celebración.","Tears gave way to celebration.","As lágrimas deram lugar à celebração.","Le lacrime lasciarono spazio alla celebrazione."
lvl2_cine_03,"Al menos por hoy, podían sonreír en paz.","At least for today, they could smile in peace.","Pelo menos por hoje, podiam sorrir em paz.","Almeno per oggi, potevano sorridere in pace."
lvl2_cine_04,"Pero en los ojos de los héroes había duda.","But in the heroes’ eyes, there was doubt.","Mas nos olhos dos heróis, havia dúvida.","Ma negli occhi degli eroi c’era del dubbio."
lvl2_cine_05,"No sabían qué les esperaba en el futuro.","They did not know what the future held.","Eles não sabiam o que o futuro lhes reservava.","Non sapevano cosa riservasse il futuro."
lvl3_cine_01,"La serpiente cayó, y los guerreros se creyeron a salvo.","The serpent fell, and the warriors thought themselves safe.","A serpente caiu, e os guerreiros pensaram estar a salvo.","Il serpente cadde, e i guerrieri si credettero al sicuro."
lvl3_cine_02,"Pero cuando se disponían a marcharse...","But just as they prepared to leave...","Mas quando se preparavam para partir...","Ma quando si preparavano ad andarsene..."
lvl3_cine_03,"el monstruo rugió de nuevo, más fiero que nunca.","the beast roared again, fiercer than ever.","a besta rugiu novamente, mais feroz que nunca.","la bestia ruggì di nuovo, più feroce che mai."
lvl3_cine_04,"Su sombra se alzó como una montaña hambrienta.","Its shadow rose like a hungry mountain.","Sua sombra ergueu-se como uma montanha faminta.","La sua ombra si levò come una montagna affamata."
lvl3_cine_05,"Y los héroes... echaron a correr.","And the heroes... ran for their lives.","E os heróis... correram por suas vidas.","E gli eroi... fuggirono a perdifiato."
lvl3_cine_06,"Pero antes del golpe final, el cielo se partió.","But before the final strike, the sky broke open.","Mas antes do golpe final, o céu se rompeu.","Ma prima del colpo finale, il cielo si aprì."
lvl3_cine_07,"Un arcoíris descendió con un estruendo divino.","A rainbow descended with divine thunder.","Um arco-íris desceu com trovões divinos.","Un arcobaleno scese con un fragore divino."
lvl3_cine_08,"La luz los envolvió y los arrancó del peligro.","Light enveloped them and tore them from danger.","A luz os envolveu e os tirou do perigo.","La luce li avvolse e li strappò al pericolo."
lvl3_cine_09,"Cuando abrieron los ojos, estaban en Asgard.","When they opened their eyes, they were in Asgard.","Quando abriram os olhos, estavam em Asgard.","Quando aprirono gli occhi, erano ad Asgard."
lvl3_cine_10,"Frente a ellos, un guardián de ojos como fuego.","Before them stood a guardian with eyes like fire.","Diante deles, um guardião de olhos como fogo.","Davanti a loro, un guardiano dagli occhi di fuoco."
lvl3_cine_11,"Era Heimdall, centinela del puente eterno.","It was Heimdall, sentinel of the eternal bridge.","Era Heimdall, sentinela da ponte eterna.","Era Heimdall, sentinella del ponte eterno."
lvl3_cine_12,"Su voz era clara como el acero y grave como la guerra.","His voice was clear as steel and deep as war.","Sua voz era clara como aço e grave como a guerra.","La sua voce era chiara come l’acciaio e grave come la guerra."
lvl3_cine_13,"Habéis desatado el principio del fin, dijo.","You have unleashed the beginning of the end, he said.","Vocês desencadearam o começo do fim, disse ele.","Avete scatenato l’inizio della fine, disse."
lvl3_cine_14,"El Ragnarok ha comenzado.","Ragnarok has begun.","O Ragnarok começou.","Il Ragnarok è iniziato."
lvl3_cine_15,"Y ahora… debéis ayudar a detenerlo.","And now… you must help stop it.","E agora... devem ajudar a detê-lo.","E ora... dovete aiutare a fermarlo."
lvl3_cine_16,"Loki no estará solo esta vez.","Loki will not be alone this time.","Loki não estará sozinho desta vez.","Loki non sarà solo questa volta."
lvl3_cine_17,"Así que preparaos... nos volveremos a ver.","So prepare yourselves… we shall meet again.","Então preparem-se... nos veremos novamente.","Quindi preparatevi... ci rivedremo presto."
lvl4_cine_01,"Tal y como estáis ahora, no tenéis ninguna oportunidad.","As you are now, you stand no chance.","Como estão agora, vocês não têm nenhuma chance.","Così come siete ora, non avete alcuna possibilità."
lvl4_cine_02,"Loki es poderoso, y no está solo.","Loki is powerful, and he is not alone.","Loki é poderoso, e não está sozinho.","Loki è potente, e non è solo."
lvl4_cine_03,"Su ejército crece en las sombras.","His army grows in the shadows.","Seu exército cresce nas sombras.","Il suo esercito cresce nell’ombra."
lvl4_cine_04,"Si queréis hacerle frente... debéis cambiar.","If you want to face him... you must change.","Se quiserem enfrentá-lo... devem mudar.","Se volete affrontarlo... dovete cambiare."
lvl4_cine_05,"Entrenad. Luchad. Aprended quiénes sois.","Train. Fight. Learn who you are.","Treinem. Lutem. Descubram quem são.","Allenatevi. Combattete. Scoprite chi siete."
lvl4_cine_06,"Tal vez entonces... tengáis una oportunidad.","Perhaps then... you will have a chance.","Talvez então... tenham uma chance.","Forse allora... avrete una possibilità."
lvl4_cine_07,"Os he estado observando.","I have been watching you.","Tenho observado vocês.","Vi ho osservati."
lvl4_cine_08,"Habéis crecido. Os habéis hecho más fuertes.","You have grown. You have become stronger.","Vocês cresceram. Tornaram-se mais fortes.","Siete cresciuti. Siete diventati più forti."
lvl4_cine_09,"Pero no debéis confiaros.","But you must not grow overconfident.","Mas não devem se acomodar.","Ma non dovete diventare troppo sicuri."
lvl4_cine_10,"Dominad vuestras habilidades.","Master your abilities.","Dominem suas habilidades.","Dominare le vostre abilità."
lvl4_cine_11,"Convertíos en uno con vuestro poder.","Become one with your power.","Tornem-se um só com o seu poder.","Diventate una cosa sola con il vostro potere."
lvl4_cine_12,"Muy pronto… os llamaremos.","Very soon… we will call upon you.","Muito em breve... chamaremos por vocês.","Molto presto... vi chiameremo."
lvl4_cine_13,"Y entonces… comenzará la batalla final.","And then… the final battle will begin.","E então... começará a batalha final.","E allora... inizierà la battaglia finale."
